id|name|type|population2025|population2035|lat|lng|departmentId|departmentName
08296|Galapa|municipio|69022|71224|10.89771991|-74.88708788|08|Atlántico
08372|Juan de Acosta|municipio|23730|24506|10.82306503|-75.07841904|08|Atlántico
08421|Luruaco|municipio|31388|32257|10.63503116|-75.15402741|08|Atlántico
08433|Malambo|municipio|144883|149515|10.84828864|-74.80617555|08|Atlántico
08436|Manatí|municipio|22014|22669|10.45414555|-74.98477367|08|Atlántico
08520|Palmar de Varela|municipio|32573|33564|10.69481208|-74.7701509|08|Atlántico
08549|Piojó|municipio|7374|7574|10.74078959|-75.14366034|08|Atlántico
08558|Polonuevo|municipio|20317|20865|10.76740141|-74.85414844|08|Atlántico
08560|Ponedera|municipio|26872|27790|10.59465102|-74.79847316|08|Atlántico
08573|Puerto Colombia|municipio|55835|57758|11.0044226|-74.9074058|08|Atlántico
08606|Repelón|municipio|29193|30001|10.50757051|-75.12188053|08|Atlántico
08634|Sabanagrande|municipio|36547|37730|10.79894015|-74.7687966|08|Atlántico
08638|Sabanalarga|municipio|104983|108481|10.62250777|-74.95510542|08|Atlántico
08675|Santa Lucía|municipio|18054|18559|10.35364192|-74.96541179|08|Atlántico
08685|Santo Tomás|municipio|33555|34644|10.75562656|-74.78726468|08|Atlántico
08758|Soledad|municipio|686339|708787|10.9069066|-74.7784249|08|Atlántico
08770|Suan|municipio|13274|13671|10.31085035|-74.90713308|08|Atlántico
08832|Tubará|municipio|19362|19757|10.90721938|-74.98423293|08|Atlántico
08849|Usiacurí|municipio|13779|14186|10.74052266|-74.98267413|08|Atlántico
11001|Bogotá, D.C.|municipio|7937898|7802297|4.316107698|-74.1810727|11|Bogotá, D.C.
13001|Cartagena de Indias|municipio|1065881|1100267|10.46343362|-75.45889915|13|Bolívar
13006|Achí|municipio|27510|29099|8.622943262|-74.47805945|13|Bolívar
13030|Altos del Rosario|municipio|12279|12877|8.757468863|-74.19515811|13|Bolívar
13042|Arenal|municipio|8051|8387|8.362996158|-74.10301905|13|Bolívar
13052|Arjona|municipio|76455|79090|10.16422123|-75.37121788|13|Bolívar
13062|Arroyohondo|municipio|8872|9109|10.24171805|-75.02690422|13|Bolívar
13074|Barranco de Loba|municipio|16421|17297|8.837077654|-74.27966531|13|Bolívar
13140|Calamar|municipio|24982|26222|10.15517098|-74.99995949|13|Bolívar
13160|Cantagallo|municipio|9148|9439|7.239229146|-74.10014043|13|Bolívar
13188|Cicuco|municipio|14845|15257|9.235268598|-74.68840962|13|Bolívar
13212|Córdoba|municipio|17685|18542|9.540047515|-74.89445635|13|Bolívar
13222|Clemencia|municipio|16365|17242|10.55663696|-75.31446653|13|Bolívar
13244|El Carmen de Bolívar|municipio|77061|80356|9.699819876|-75.15793573|13|Bolívar
13248|El Guamo|municipio|9549|9974|10.03483672|-74.92811072|13|Bolívar
13268|El Peñón|municipio|8209|8544|8.864818786|-73.91230147|13|Bolívar
13300|Hatillo de Loba|municipio|13353|13917|8.981717133|-74.09071902|13|Bolívar
13430|Magangué|municipio|147190|153169|9.053135895|-74.70539318|13|Bolívar
13433|Mahates|municipio|30573|31830|10.17821391|-75.17978161|13|Bolívar
13440|Margarita|municipio|11883|12491|9.054601889|-74.22584706|13|Bolívar
13442|María La Baja|municipio|51264|53570|9.976017168|-75.34380265|13|Bolívar
13458|Montecristo|municipio|18500|19285|8.01710024|-74.46342911|13|Bolívar
13468|Santa Cruz de Mompox|municipio|49152|51243|9.142512064|-74.54519906|13|Bolívar
13473|Morales|municipio|24959|26218|8.253700061|-73.9713459|13|Bolívar
13490|Norosí|municipio|10957|11465|8.50613476|-74.11588912|13|Bolívar
13549|Pinillos|municipio|26866|28319|8.886315511|-74.40888476|13|Bolívar
13580|Regidor|municipio|7634|8053|8.672628558|-73.91450679|13|Bolívar
13600|Río Viejo|municipio|11617|12100|8.559982465|-73.90298668|13|Bolívar
13620|San Cristóbal|municipio|8798|9074|10.36972087|-75.07333835|13|Bolívar
13647|San Estanislao|municipio|20100|20897|10.36468192|-75.20523487|13|Bolívar
13650|San Fernando|municipio|13934|14613|9.081483143|-74.37186647|13|Bolívar
13654|San Jacinto|municipio|26099|27101|9.835362011|-75.10609201|13|Bolívar
13655|San Jacinto del Cauca|municipio|11175|11659|8.212463202|-74.75082|13|Bolívar
13657|San Juan Nepomuceno|municipio|40621|42277|9.967957823|-75.06571959|13|Bolívar
13667|San Martín de Loba|municipio|16176|16865|8.816088444|-74.00599967|13|Bolívar
13670|San Pablo|municipio|29948|31112|7.507922612|-74.10356977|13|Bolívar
13673|Santa Catalina|municipio|16156|16911|10.64981278|-75.26548463|13|Bolívar
13683|Santa Rosa|municipio|23042|23769|10.46920726|-75.36116053|13|Bolívar
13688|Santa Rosa del Sur|municipio|36335|37606|7.772519173|-74.26272843|13|Bolívar
13744|Simití|municipio|20209|21013|7.851315534|-73.98371609|13|Bolívar
13760|Soplaviento|municipio|11701|12295|10.33209031|-75.11699226|13|Bolívar
