id|type|name|placeId|parentId|parentName|lat|lng
50150|municipio|Castilla La Nueva|ChIJS8L_l9IQPo4R6qFvRJjg1Hk|50|Meta|3.82848|-73.68875
05154|municipio|Caucasia|ChIJ8dxwwANvW44RdJydlRwQTV0|05|Antioquia|7.983182100000001|-75.1981665
68160|municipio|Cepitá|ChIJGcyvgXKzaY4RBNExJpG0M18|68|Santander|6.753889999999999|-72.97241
23162|municipio|Cereté|ChIJrRfOWyUqWo4RFIbY5jAjFOE|23|Córdoba|8.8889207|-75.7895875
15162|municipio|Cerinza|ChIJU2Tfcig7ao4RuPnrtjHtCqI|15|Boyacá|5.95661|-72.9489509
68162|municipio|Cerrito|ChIJW3P6PkT_aI4RKuLkZueIGKA|68|Santander|6.839005999999999|-72.696951
47161|municipio|Cerro de San Antonio|ChIJEaGnh0z59Y4RRfsXi0dH0h0|47|Magdalena|10.327091|-74.86900179999999
27160|municipio|Cértegui|ChIJ15-NEU1wSI4RTU9SN-_fmSE|27|Chocó|5.371643199999999|-76.6085705
52240|municipio|Chachagüí|ChIJ165r-ojZLo4RCOeyl4RWOv4|52|Nariño|1.359869|-77.28284099999999
25168|municipio|Chaguaní|ChIJ0ZYFN_2hQI4R5BPA8L2FkpY|25|Cundinamarca|4.9493414|-74.5938658
70230|municipio|Chalán|ChIJ6fYR_UsgWY4RqsT5YrCerZs|70|Sucre|9.545048399999999|-75.3122334
85015|municipio|Chámeza|ChIJ_5YzgUHmao4Rjha630FnB-8|85|Casanare|5.2133367|-72.8703836
73168|municipio|Chaparral|ChIJMSPJ4vRkOY4R5ENRJSrODRE|73|Tolima|3.7242458|-75.48275439999999
1100102|localidad|Chapinero|ChIJgwW_iJ6QP44Rc7wFsOAC5M4|11001|Bogotá|4.6548153|-74.0552684
68167|municipio|Charalá|ChIJ6Ti-YGXyaY4RVDq2k4nUozY|68|Santander|6.2859226|-73.1470331
68169|municipio|Charta|ChIJt1HZQSBuaI4RAFzGkCMzI_E|68|Santander|7.280931|-72.96804999999999
25175|municipio|Chía|ChIJial11I2HP44RAlMLmJYQIQQ|25|Cundinamarca|4.8626039|-74.0559882
05172|municipio|Chigorodó|ChIJj9xZDXwbUI4RKiX1RO4KXIE|05|Antioquia|7.6645455|-76.67748449999999
23168|municipio|Chimá|ChIJdcDuKbd2WY4RcP3pckXjXxQ|23|Córdoba|9.149379|-75.62803199999999
68176|municipio|Chima|ChIJt-iPD3_jaY4RmvVgIhrS7KI|68|Santander|6.3419111|-73.37285469999999
20175|municipio|Chimichagua|ChIJCQ1sXDQ_Xo4RgHv6rK05ByE|20|Cesar|9.258032300000002|-73.8142384
54172|municipio|Chinácota|ChIJw1U9COUxZo4RpMn7OWw5CNY|54|Norte de Santander|7.6071073|-72.60163109999999
15172|municipio|Chinavita|ChIJQVwwZwCiao4Rql89q69hhfc|15|Boyacá|5.166615|-73.36877
17174|municipio|Chinchiná|ChIJN9MekyF5R44RbDRBFs_HVEI|17|Caldas|4.9740951|-75.6789905
23182|municipio|Chinú|ChIJncbT2fpoWY4R4OPK5DhhMAs|23|Córdoba|9.105964|-75.401527
25178|municipio|Chipaque|ChIJOVQee8akP44RbLQ59pKPmMo|25|Cundinamarca|4.4430352|-74.04400679999999
68179|municipio|Chipatá|ChIJMfHCuBv6QY4RDD_-xnAUis8|68|Santander|6.061617|-73.637199
15176|municipio|Chiquinquirá|ChIJIWVYgLfJQY4RzmIL08j07eE|15|Boyacá|5.614775|-73.819571
15232|municipio|Chíquiza|ChIJY__cMDjWQY4RUsDmjEG3vU4|15|Boyacá|5.605683|-73.4848681
20178|municipio|Chiriguaná|ChIJ45lWRAkvXo4R1MmF4UZE-z0|20|Cesar|9.361464|-73.5997
15180|municipio|Chiscas|ChIJG2RJi8gRaY4R5teKW9vYjqo|15|Boyacá|6.5527257|-72.4995814
15183|municipio|Chita|ChIJMzfVn3hjaY4RLrS1jIfHWyg|15|Boyacá|6.187449|-72.4732654
54174|municipio|Chitagá|ChIJtyJ3tf2KaI4RdJ5fcDHfHKs|54|Norte de Santander|7.137112999999999|-72.66549499999999
15185|municipio|Chitaraque|ChIJWd485nMHao4RhDbQH1TmMfM|15|Boyacá|6.027467|-73.446429
15187|municipio|Chivatá|ChIJKZRLjrF8ao4R6picrPeEW08|15|Boyacá|5.558452|-73.282611
47170|municipio|Chivolo|ChIJ6WWxV1lCX44RxvwMrbQCmxk|47|Magdalena|10.0274472|-74.6238453
15236|municipio|Chivor|ChIJhbljXICsao4RrICH-BjFaDk|15|Boyacá|4.888109|-73.36692599999999
25181|municipio|Choachí|ChIJjz9Z8RG-P44RLFb_tjYw9Lc|25|Cundinamarca|4.528659|-73.922968
25183|municipio|Chocontá|ChIJHVhiW6QXQI4Riv9Jkh6RqZI|25|Cundinamarca|5.144813999999999|-73.6846668
13188|municipio|Cicuco|ChIJO5fQmnTBXo4RhPWWJmsAs4Y|13|Bolívar|9.2769051|-74.6417537
23189|municipio|Ciénaga de Oro|ChIJ2bZR9tfVW44RWgq-a9eD1b8|23|Córdoba|8.879215|-75.621332
47189|municipio|Ciénaga|ChIJW3wnk9lV9I4Rzky4CjCNPxI|47|Magdalena|11.007984|-74.248926
15189|municipio|Ciénega|ChIJsY0gw-GFao4RDHc0CkJT_k8|15|Boyacá|5.409158|-73.295881
68190|municipio|Cimitarra|ChIJK1lagrokQo4Relrm6_uMx5U|68|Santander|6.315208999999999|-73.9489059
63190|municipio|Circasia|ChIJsdKEYZ2LOI4R8mq6ayKV3TM|63|Quindío|4.616093999999999|-75.635595
